height,timestamp,gas_used,gas_wanted,tx_count,total_fee_base,total_fee_osmo,fee_per_gas_osmo,load,max_gas,status,error
45947134,2025-10-10T21:00:00.699844+00:00,77198150,194022718,152,2676658,2.676658,3.467256663534035e-08,0.25732716666666666,300000000,ok,
45947135,2025-10-10T21:00:02.096215+00:00,298789,636530,1,6366,0.006366,2.1306005241156802e-08,0.0009959633333333333,300000000,ok,
45947136,2025-10-10T21:00:04.207465+00:00,100880514,269940903,192,3531454,3.531454,3.5006304587226826e-08,0.33626838,300000000,ok,
45947137,2025-10-10T21:00:08.464662+00:00,14698393,44587443,24,742824,0.742824,5.0537769673188085e-08,0.04899464333333333,300000000,ok,
45947138,2025-10-10T21:00:09.831904+00:00,27836058,67890851,71,1653744,1.653744,5.941013630593815e-08,0.09278686,300000000,ok,
45947139,2025-10-10T21:00:10.989847+00:00,13565649,29250798,39,389754,0.389754,2.873095124309939e-08,0.04521883,300000000,ok,
45947140,2025-10-10T21:00:12.048253+00:00,18917985,92795385,43,1051711,1.051711,5.559318288919248e-08,0.06305995,300000000,ok,
45947141,2025-10-10T21:00:13.115996+00:00,27155337,59706028,56,851104,0.851104,3.134205257699435e-08,0.09051779,300000000,ok,
45947142,2025-10-10T21:00:14.247445+00:00,48271984,105982067,102,1506142,1.506142,3.120116214821417e-08,0.16090661333333334,300000000,ok,
45947143,2025-10-10T21:00:15.171343+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947144,2025-10-10T21:00:16.484761+00:00,18912074,42924710,62,581842,0.581842,3.076563680958524e-08,0.06304024666666666,300000000,ok,
45947145,2025-10-10T21:00:17.571734+00:00,8474441,14869438,15,183013,0.183013,2.1595878713416022e-08,0.028248136666666666,300000000,ok,
45947146,2025-10-10T21:00:18.564837+00:00,8855076,61474801,25,746270,0.74627,8.42759565248226e-08,0.02951692,300000000,ok,
45947147,2025-10-10T21:00:19.726256+00:00,15205318,29374844,34,369143,0.369143,2.4277229848136026e-08,0.050684393333333334,300000000,ok,
45947148,2025-10-10T21:00:20.820852+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947149,2025-10-10T21:00:22.028811+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947150,2025-10-10T21:00:23.428643+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947151,2025-10-10T21:00:24.688531+00:00,80255982,174390239,151,2393131,2.393131,2.981872429148023e-08,0.26751994,300000000,ok,
45947152,2025-10-10T21:00:25.786734+00:00,9415098,52680384,25,597374,0.597374,6.344851641480524e-08,0.03138366,300000000,ok,
45947153,2025-10-10T21:00:27.793576+00:00,6722789,14549941,18,261750,0.26175,3.8934733783850723e-08,0.022409296666666665,300000000,ok,
45947154,2025-10-10T21:00:28.856739+00:00,8106351,15489303,16,185606,0.185606,2.2896368538692685e-08,0.02702117,300000000,ok,
45947155,2025-10-10T21:00:29.977897+00:00,6286111,15786084,19,192731,0.192731,3.065981494758842e-08,0.020953703333333334,300000000,ok,
45947156,2025-10-10T21:00:31.142676+00:00,9951968,19913969,25,276568,0.276568,2.7790282283865864e-08,0.033173226666666666,300000000,ok,
