epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Spike,0.445949,0.5120570468,0.3117341577114119,0.02411409359999994,False
16.0,0.98,Spike,0.954887,0.5110306428,0.2988053326745173,0.02206128559999998,False
16.0,0.97,Spike,0.951403,0.5097233298,0.280221533453394,0.019446659600000027,False
16.0,0.9600000000000001,Spike,0.199607,0.5081694762,0.2572129499018929,0.01633895239999994,False
16.0,0.9500000000000001,Spike,0.839803,0.5066914351999999,0.23200158625422176,0.013382870399999858,False
16.0,0.9400000000000001,Spike,0.255036,0.5051540084,0.20383147604380333,0.010308016800000042,False
16.0,0.93,Spike,0.739771,0.5036681526000001,0.17134582874488008,0.0073363052000001705,False
16.0,0.92,Spike,0.344829,0.5021577896,0.13153143028227646,0.00431557920000003,False
16.0,0.91,Spike,0.54606,0.5006788799999999,0.0741657337142907,0.0013577599999998746,False
16.0,0.9,Spike,0.5,0.5001012132,0.028723571672103498,0.0002024264000000109,True
16.0,0.89,Spike,0.5,0.5000902984000001,0.027164534898705888,0.00018059680000015454,True
16.0,0.88,Spike,0.5,0.5000856885999999,0.026482487639108626,0.0001713771999998226,True
16.0,0.87,Spike,0.5,0.5000826942,0.026030630261671545,0.00016538839999991062,True
16.0,0.86,Spike,0.5,0.5000804644,0.025690153867929326,0.0001609287999999598,True
16.0,0.85,Spike,0.5,0.5000787054,0.025418612445275993,0.00015741079999997964,True
16.0,0.8400000000000001,Spike,0.5,0.500077271,0.02519555469963865,0.00015454199999997975,True
16.0,0.8300000000000001,Spike,0.5,0.5000760774,0.025009271750806947,0.00015215480000008164,True
16.0,0.8200000000000001,Spike,0.5,0.5000750770000001,0.024852286508657763,0.00015015400000017998,True
16.0,0.81,Spike,0.5,0.5000742319999999,0.0247194170472446,0.00014846399999979276,True
16.0,0.8,Spike,0.5,0.5000735185999999,0.02460691920319544,0.00014703719999986653,True
16.0,0.79,Spike,0.5,0.500072918,0.024511922875667842,0.00014583599999995478,True
16.0,0.78,Spike,0.5,0.5000724126,0.02443221442778223,0.00014482520000003163,True
16.0,0.77,Spike,0.5,0.5000719916,0.02436600860310483,0.00014398320000008624,True
16.0,0.76,Spike,0.5,0.5000716453999999,0.024311840412797017,0.00014329079999986227,True
16.0,0.75,Spike,0.5,0.5000713676,0.02426850052961784,0.000142735200000077,True
16.0,0.74,Spike,0.5,0.5000711494,0.02423497783344555,0.00014229879999994033,True
16.0,0.73,Spike,0.5,0.5000709884,0.02421039466039717,0.00014197679999994328,True
