epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Bimodal,0.022231,0.525665138,0.45034519412593915,0.051330276000000064,False
16.0,0.98,Bimodal,0.026098,0.5250057514,0.4447883596718434,0.05001150280000011,False
16.0,0.97,Bimodal,0.454528,0.5241610088,0.4392625456101281,0.0483220176000001,False
16.0,0.9600000000000001,Bimodal,1.0,0.524125404,0.4368805298459661,0.04825080799999992,False
16.0,0.9500000000000001,Bimodal,1.0,0.5241208608,0.43553569453774776,0.048241721599999954,False
16.0,0.9400000000000001,Bimodal,0.044438,0.5245791209999999,0.4423237658862281,0.04915824199999985,False
16.0,0.93,Bimodal,0.090987,0.5230637114,0.43074574551833633,0.04612742279999993,False
16.0,0.92,Bimodal,0.5,0.5005897424000001,0.06917459473062398,0.0011794848000001856,True
16.0,0.91,Bimodal,0.5,0.5004767412,0.06219860246787232,0.0009534823999999276,True
16.0,0.9,Bimodal,0.5,0.5003482894,0.053127596065039286,0.0006965787999999584,True
16.0,0.89,Bimodal,0.5,0.5002946036,0.04887094214516944,0.000589207199999997,True
16.0,0.88,Bimodal,0.5,0.50026761,0.04657468377760709,0.0005352199999999474,True
16.0,0.87,Bimodal,0.5,0.5002450106,0.04457228250478121,0.0004900212000000792,True
16.0,0.86,Bimodal,0.5,0.5002267918,0.042891968671490886,0.00045358359999991826,True
16.0,0.85,Bimodal,0.5,0.500210495,0.04131675110441696,0.0004209900000000655,True
16.0,0.8400000000000001,Bimodal,0.5,0.5001928974000001,0.03953891137714152,0.00038579480000011657,True
16.0,0.8300000000000001,Bimodal,0.5,0.5001782756,0.0380203518539356,0.0003565512000001103,True
16.0,0.8200000000000001,Bimodal,0.5,0.5001669754,0.03679826638577141,0.00033395079999998245,True
16.0,0.81,Bimodal,0.5,0.5001580398,0.035809312725934815,0.00031607959999990776,True
16.0,0.8,Bimodal,0.5,0.5001504618,0.034952067518447365,0.0003009236000000026,True
16.0,0.79,Bimodal,0.5,0.500142519,0.03401298538548779,0.0002850379999999042,True
16.0,0.78,Bimodal,0.5,0.5001352768,0.03313788509944403,0.00027055360000005635,True
16.0,0.77,Bimodal,0.5,0.500128986,0.03236539384938192,0.0002579719999999952,True
16.0,0.76,Bimodal,0.5,0.5001235828,0.03169274000720318,0.0002471656000000433,True
16.0,0.75,Bimodal,0.5,0.5001198374,0.03121040006436631,0.0002396747999999782,True
16.0,0.74,Bimodal,0.5,0.5001164678,0.030766909277239046,0.0002329355999999283,True
16.0,0.73,Bimodal,0.5,0.5001133868,0.030358049423389245,0.00022677359999989655,True
16.0,0.72,Bimodal,0.5,0.5001105848,0.029981502659899448,0.0002211696000000707,True
16.0,0.7100000000000001,Bimodal,0.5,0.5001080242,0.029635172309510495,0.0002160484000000018,True
16.0,0.7000000000000001,Bimodal,0.5,0.5001056906,0.029317151565751706,0.00021138119999997151,True
16.0,0.6900000000000001,Bimodal,0.5,0.5001035652000001,0.029025661807538895,0.00020713040000019944,True
16.0,0.68,Bimodal,0.5,0.5001016321999999,0.028759046330803367,0.00020326439999984736,True
16.0,0.67,Bimodal,0.5,0.5000998738,0.028515808293464166,0.0001997475999999665,True
16.0,0.66,Bimodal,0.5,0.5000982836,0.02829449934799769,0.00019656719999994188,True
16.0,0.65,Bimodal,0.5,0.5000968370000001,0.028093808535840075,0.00019367400000014356,True
16.0,0.64,Bimodal,0.5,0.5000955356000001,0.027912478968224283,0.0001910712000001702,True
16.0,0.63,Bimodal,0.5,0.5000943606,0.02774932507291967,0.00018872120000001935,True
16.0,0.62,Bimodal,0.5,0.500093308,0.02760324920733964,0.0001866159999999173,True
16.0,0.61,Bimodal,0.5,0.5000923642,0.02747321621894752,0.00018472840000005597,True
16.0,0.6,Bimodal,0.5,0.500091529,0.02735821449569466,0.0001830579999999582,True
16.0,0.59,Bimodal,0.5,0.5000907888,0.02725732948357762,0.00018157760000003798,True
16.0,0.5800000000000001,Bimodal,0.5,0.5000900702,0.027160029275037908,0.00018014039999991738,True
16.0,0.5700000000000001,Bimodal,0.5,0.5000889213999999,0.026998478379163887,0.00017784279999988328,True
16.0,0.56,Bimodal,0.5,0.5000878639999999,0.026848898019629735,0.0001757279999998751,True
16.0,0.55,Bimodal,0.5,0.5000868872,0.026710642094893572,0.00017377440000010402,True
16.0,0.54,Bimodal,0.5,0.5000859892,0.02658308440721662,0.00017197840000005016,True
16.0,0.53,Bimodal,0.5,0.5000851654,0.026465651939987508,0.0001703308000000625,True
16.0,0.52,Bimodal,0.5,0.5000844102,0.026357753541238753,0.00016882040000010257,True
16.0,0.51,Bimodal,0.5,0.5000837187999999,0.026258881755740076,0.0001674375999998201,True
16.0,0.5,Bimodal,0.5,0.5000830902,0.026168541610301212,0.00016618039999993783,True
16.0,0.49,Bimodal,0.5,0.5000825155999999,0.026086265570511233,0.0001650311999998877,True
16.0,0.48000000000000004,Bimodal,0.5,0.5000819975999999,0.026011575010831293,0.00016399519999987788,True
16.0,0.47000000000000003,Bimodal,0.5,0.5000815278,0.025944048760277227,0.0001630556000000727,True
16.0,0.46,Bimodal,0.5,0.500081107,0.02588325123335229,0.00016221399999993835,True
16.0,0.45,Bimodal,0.5,0.5000807291999999,0.025828788338442703,0.00016145839999981426,True
16.0,0.44,Bimodal,0.5,0.5000803924,0.02578027581700907,0.0001607848000000356,True
16.0,0.43,Bimodal,0.5,0.5000800938000001,0.025737358529900087,0.00016018760000013899,True
16.0,0.42000000000000004,Bimodal,0.5,0.5000798314,0.025699670972862607,0.00015966280000001554,True
16.0,0.41000000000000003,Bimodal,0.5,0.500079606,0.025666881621763116,0.00015921200000001967,True
16.0,0.4,Bimodal,0.5,0.500079408,0.025638684210683414,0.00015881599999989504,True
16.0,0.39,Bimodal,0.5,0.500079241,0.02561476580259018,0.00015848200000001533,True
16.0,0.38,Bimodal,0.5,0.5000791014,0.025594834224923556,0.00015820280000000686,True
16.0,0.37,Bimodal,0.5,0.5000789872,0.02557860322537625,0.00015797439999998275,True
16.0,0.36000000000000004,Bimodal,0.5,0.5000788974,0.025565807811831168,0.00015779479999999957,True
16.0,0.35000000000000003,Bimodal,0.5,0.5000788264,0.025556190751311245,0.0001576528000000188,True
16.0,0.34,Bimodal,0.5,0.5000787774000001,0.025549502417663777,0.0001575548000001259,True
16.0,0.33,Bimodal,0.5,0.5000787459999999,0.025545505686543773,0.00015749199999981478,True
16.0,0.32,Bimodal,0.5,0.5000787324,0.025543981386968825,0.00015746480000000673,True
16.0,0.31,Bimodal,0.5,0.5000787346,0.02554470056307441,0.0001574691999999267,True
16.0,0.3,Bimodal,0.5,0.5000787502,0.025547464222052164,0.0001575004000000657,True
16.0,0.29000000000000004,Bimodal,0.5,0.5000787781999999,0.025552064283333994,0.0001575563999998142,True
16.0,0.28,Bimodal,0.5,0.5000788168,0.02555831859402939,0.0001576335999999845,True
16.0,0.27,Bimodal,0.5,0.5000788660000001,0.025566027834168677,0.00015773200000013254,True
16.0,0.26,Bimodal,0.5,0.5000789236000001,0.02557502658926421,0.00015784720000011632,True
16.0,0.25,Bimodal,0.5,0.5000789882,0.025585144208499097,0.0001579763999999262,True
16.0,0.24000000000000002,Bimodal,0.5,0.50007906,0.025596210113015362,0.00015812000000003934,True
16.0,0.23,Bimodal,0.5,0.500079137,0.025608071507630146,0.00015827399999990277,True
16.0,0.22,Bimodal,0.5,0.500079218,0.02562058117339278,0.00015843599999998403,True
16.0,0.21000000000000002,Bimodal,0.5,0.5000793036,0.02563358169504079,0.00015860719999993833,True
16.0,0.2,Bimodal,0.5,0.5000793898,0.025646945099025698,0.00015877959999999192,True
16.0,0.19,Bimodal,0.5,0.5000794798,0.02566052913407438,0.0001589596000000082,True
16.0,0.18000000000000002,Bimodal,0.5,0.500079569,0.025674208347804928,0.0001591379999998921,True
16.0,0.17,Bimodal,0.5,0.5000796596,0.02568786080700952,0.00015931920000000765,True
16.0,0.16,Bimodal,0.5,0.500079748,0.025701359483925365,0.0001594959999999812,True
16.0,0.15000000000000002,Bimodal,0.5,0.5000798336,0.025714607787003844,0.0001596671999999355,True
16.0,0.14,Bimodal,0.5,0.5000799198,0.025727488288336528,0.0001598395999999891,True
16.0,0.13,Bimodal,0.5,0.5000800014000001,0.025739906115057224,0.00016000280000016964,True
16.0,0.12,Bimodal,0.5,0.5000800774,0.025751760176287844,0.00016015480000008964,True
16.0,0.11,Bimodal,0.5,0.5000801516,0.02576296195264691,0.0001603031999999338,True
16.0,0.09999999999999999,Bimodal,0.5,0.5000802202,0.025773430038442714,0.00016044039999996151,True
16.0,0.09,Bimodal,0.5,0.5000802830000001,0.02578309374625816,0.00016056600000013965,True
16.0,0.08,Bimodal,0.5,0.5000803396,0.02579187764588635,0.00016067919999995794,True
16.0,0.06999999999999999,Bimodal,0.5,0.5000803916,0.025799725067987955,0.0001607831999999032,True
16.0,0.060000000000000005,Bimodal,0.5,0.5000804358,0.025806588025715144,0.00016087159999988998,True
16.0,0.05,Bimodal,0.5,0.5000804745999999,0.025812424184919466,0.00016094919999987134,True
16.0,0.04,Bimodal,0.5,0.500080505,0.025817198743391313,0.00016101000000001697,True
16.0,0.03,Bimodal,0.5,0.5000805278,0.02582091215484319,0.00016105560000001518,True
16.0,0.02,Bimodal,0.5,0.5000805453999999,0.025823536155171512,0.000161090799999819,True
16.0,0.01,Bimodal,0.5,0.5000805554000001,0.02582508731056394,0.00016111080000014155,True
15.9,0.99,Bimodal,0.023181,0.5254050949999999,0.44811001874586476,0.050810189999999755,False
15.9,0.98,Bimodal,0.423595,0.5245691424000001,0.44272144428703614,0.049138284800000154,False
15.9,0.97,Bimodal,1.0,0.5240091629999999,0.43713054878338714,0.04801832599999978,False
15.9,0.9600000000000001,Bimodal,0.02754,0.5242427776,0.4374499310448943,0.048485555200000086,False
15.9,0.9500000000000001,Bimodal,0.04268,0.5246014443999999,0.44252582102779736,0.04920288879999979,False
15.9,0.9400000000000001,Bimodal,0.045401,0.5241427732,0.43823683263331287,0.048285546400000046,False
15.9,0.93,Bimodal,1.0,0.5229682132,0.4261630135176743,0.04593642639999995,False
15.9,0.92,Bimodal,0.5,0.5005655743999999,0.06774243040776715,0.0011311487999998704,True
15.9,0.91,Bimodal,0.5,0.5004153534,0.05803415261647655,0.0008307067999999695,True
15.9,0.9,Bimodal,0.5,0.5003239872,0.051222698381160336,0.0006479744000000842,True
15.9,0.89,Bimodal,0.5,0.5002828418,0.04788768849622912,0.0005656836000000887,True
15.9,0.88,Bimodal,0.5,0.5002571002,0.04564881898867453,0.0005142004000000533,True
15.9,0.87,Bimodal,0.5,0.5002366535999999,0.04380743351887564,0.0004733071999998284,True
15.9,0.86,Bimodal,0.5,0.5002203892,0.04228642404474303,0.0004407784000000081,True
15.9,0.85,Bimodal,0.5,0.5002040654000001,0.040674642439203254,0.00040813080000012825,True
15.9,0.8400000000000001,Bimodal,0.5,0.500187546,0.03898811095622704,0.0003750920000000768,True
15.9,0.8300000000000001,Bimodal,0.5,0.5001741222,0.03757406381240048,0.00034824440000003065,True
15.9,0.8200000000000001,Bimodal,0.5,0.5001638092,0.03644912896693809,0.0003276184000000626,True
15.9,0.81,Bimodal,0.5,0.5001553379999999,0.035503991819314865,0.0003106759999997877,True
15.9,0.8,Bimodal,0.5,0.5001480532,0.034672734941732494,0.0002961063999999958,True
15.9,0.79,Bimodal,0.5,0.5001401506,0.03372882688289201,0.0002803012000001104,True
15.9,0.78,Bimodal,0.5,0.5001332362,0.03288821638564511,0.0002664724000001062,True
15.9,0.77,Bimodal,0.5,0.500127241,0.03214847011576563,0.0002544819999998893,True
15.9,0.76,Bimodal,0.5,0.5001223696,0.031537424335752955,0.00024473920000001037,True
15.9,0.75,Bimodal,0.5,0.5001187818,0.031071964158841434,0.00023756360000004584,True
15.9,0.74,Bimodal,0.5,0.5001155236,0.03064164578898422,0.00023104720000000079,True
15.9,0.73,Bimodal,0.5,0.5001125458000001,0.03024476745842866,0.00022509160000017125,True
15.9,0.72,Bimodal,0.5,0.5001098277999999,0.02987912640813198,0.00021965559999981288,True
15.9,0.7100000000000001,Bimodal,0.5,0.500107349,0.029542747749045143,0.00021469799999995764,True
15.9,0.7000000000000001,Bimodal,0.5,0.5001050843999999,0.02923381872891004,0.0002101687999997992,True
15.9,0.6900000000000001,Bimodal,0.5,0.5001030228,0.02895062790295705,0.00020604559999992667,True
15.9,0.68,Bimodal,0.5,0.5001011498,0.02869160928244359,0.0002022995999999555,True
15.9,0.67,Bimodal,0.5,0.5000994422,0.02845531733494437,0.00019888440000004337,True
15.9,0.66,Bimodal,0.5,0.5000978966,0.02824037263145763,0.00019579320000007172,True
15.9,0.65,Bimodal,0.5,0.5000964960000001,0.02804549808609152,0.00019299200000011396,True
15.9,0.64,Bimodal,0.5,0.5000952312,0.027869481345468912,0.00019046239999997994,True
15.9,0.63,Bimodal,0.5,0.5000940922,0.027711198128273704,0.00018818440000001324,True
15.9,0.62,Bimodal,0.5,0.50009307,0.027569576839700027,0.00018614000000005682,True
15.9,0.61,Bimodal,0.5,0.5000921568,0.027443597768388686,0.00018431359999993013,True
15.9,0.6,Bimodal,0.5,0.5000913446,0.027332306640609566,0.0001826892000000857,True
15.9,0.59,Bimodal,0.5,0.5000906262,0.02723481342156937,0.0001812523999999982,True
15.9,0.5800000000000001,Bimodal,0.5,0.5000898568000001,0.027129423879572182,0.00017971360000013092,True
15.9,0.5700000000000001,Bimodal,0.5,0.5000887288,0.026970822953580956,0.00017745759999998612,True
15.9,0.56,Bimodal,0.5,0.5000876884000001,0.026823953478235563,0.00017537680000012656,True
15.9,0.55,Bimodal,0.5,0.5000867324,0.026688186916892138,0.00017346480000002273,True
15.9,0.54,Bimodal,0.5,0.5000858514,0.026562923262347583,0.00017170279999989546,True
15.9,0.53,Bimodal,0.5,0.5000850412,0.026447590276805794,0.0001700823999999379,True
15.9,0.52,Bimodal,0.5,0.5000842990000001,0.026341619516995433,0.0001685980000001308,True
15.9,0.51,Bimodal,0.5,0.5000836209999999,0.026244513568901458,0.00016724199999984535,True
15.9,0.5,Bimodal,0.5,0.5000830024,0.026155800369688367,0.00016600480000006357,True
15.9,0.49,Bimodal,0.5,0.5000824388,0.02607500135179582,0.00016487760000005736,True
15.9,0.48000000000000004,Bimodal,0.5,0.50008193,0.026001670494774056,0.00016386000000001566,True
15.9,0.47000000000000003,Bimodal,0.5,0.50008147,0.025935375675331638,0.00016294000000005582,True
15.9,0.46,Bimodal,0.5,0.5000810553999999,0.025875706831681694,0.00016211079999983724,True
15.9,0.45,Bimodal,0.5,0.5000806834,0.025822270289100085,0.0001613668000000068,True
15.9,0.44,Bimodal,0.5,0.500080354,0.025774686690392217,0.00016070799999989838,True
15.9,0.43,Bimodal,0.5,0.500080062,0.025732606449209335,0.00016012399999998372,True
15.9,0.42000000000000004,Bimodal,0.5,0.5000798056,0.025695674033078243,0.00015961119999996498,True
15.9,0.41000000000000003,Bimodal,0.5,0.5000795832,0.02566357506658255,0.00015916640000002147,True
15.9,0.4,Bimodal,0.5,0.50007939,0.02563598926707219,0.000158780000000025,True
15.9,0.39,Bimodal,0.5,0.500079227,0.025612621348146618,0.00015845399999991905,True
15.9,0.38,Bimodal,0.5,0.5000790906,0.025593179118348474,0.00015818119999999602,True
15.9,0.37,Bimodal,0.5,0.5000789782,0.025577379247357566,0.00015795640000004774,True
15.9,0.36000000000000004,Bimodal,0.5,0.5000788888,0.025564970683911382,0.0001577775999999087,True
15.9,0.35000000000000003,Bimodal,0.5,0.5000788238,0.025555683674923904,0.00015764760000003264,True
15.9,0.34,Bimodal,0.5,0.5000787766,0.025549291426471527,0.0001575531999999935,True
15.9,0.33,Bimodal,0.5,0.500078747,0.025545549172799144,0.00015749399999998026,True
15.9,0.32,Bimodal,0.5,0.5000787351999999,0.025544238230654635,0.00015747039999980394,True
15.9,0.31,Bimodal,0.5,0.500078737,0.025545137362558954,0.0001574740000001018,True
15.9,0.3,Bimodal,0.5,0.5000787532000001,0.025548052875384347,0.00015750640000011806,True
15.9,0.29000000000000004,Bimodal,0.5,0.500078782,0.025552777685863597,0.00015756399999999893,True
15.9,0.28,Bimodal,0.5,0.5000788216,0.025559124941439755,0.00015764319999989063,True
15.9,0.27,Bimodal,0.5,0.5000788708,0.025566913233782605,0.00015774160000003867,True
15.9,0.26,Bimodal,0.5,0.5000789292,0.02557596018524557,0.00015785839999993279,True
15.9,0.25,Bimodal,0.5,0.5000789936,0.025586114338862615,0.0001579871999999316,True
15.9,0.24000000000000002,Bimodal,0.5,0.5000790672000001,0.025597191771168926,0.00015813440000012058,True
15.9,0.23,Bimodal,0.5,0.5000791426,0.025609054825785335,0.00015828519999994128,True
15.9,0.22,Bimodal,0.5,0.5000792252,0.02562154723019238,0.00015845040000006527,True
15.9,0.21000000000000002,Bimodal,0.5,0.5000793106,0.025634524936840066,0.00015862119999998647,True
15.9,0.2,Bimodal,0.5,0.5000793969999999,0.02564785585915176,0.0001587939999998511,True
15.9,0.19,Bimodal,0.5,0.5000794862,0.025661394837046683,0.00015897239999995705,True
15.9,0.18000000000000002,Bimodal,0.5,0.5000795748000001,0.025675027669974877,0.00015914960000018574,True
15.9,0.17,Bimodal,0.5,0.5000796646,0.025688619146011577,0.00015932919999994688,True
15.9,0.16,Bimodal,0.5,0.5000797523999999,0.025702070395468474,0.00015950479999982115,True
15.9,0.15000000000000002,Bimodal,0.5,0.5000798392,0.02571525041856216,0.00015967839999997402,True
