epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Spike,0.000586,0.5297532209999999,0.47293200468852975,0.05950644199999977,False
16.0,0.98,Spike,0.000383,0.5297775266000001,0.4727269183283074,0.05955505320000021,False
16.0,0.97,Spike,1.0,0.5294474268,0.47274498201006787,0.05889485360000002,False
16.0,0.9600000000000001,Spike,0.758751,0.5293258153999999,0.4724992297960124,0.0586516307999998,False
16.0,0.9500000000000001,Spike,1.0,0.5297605806,0.473116266934635,0.05952116119999995,False
16.0,0.9400000000000001,Spike,1.0,0.529991183,0.4729548721933159,0.059982366000000065,False
16.0,0.93,Spike,1.0,0.5300384696,0.4725393777547353,0.06007693920000001,False
16.0,0.92,Spike,1.0,0.5302069604,0.47224908321150616,0.060413920800000076,False
16.0,0.91,Spike,0.000699,0.5300027225999999,0.47143000227163223,0.06000544519999984,False
16.0,0.9,Spike,0.000856,0.5298494828,0.4705270044609562,0.05969896559999999,False
16.0,0.89,Spike,0.911299,0.5288776382,0.47089157642511137,0.0577552764,False
16.0,0.88,Spike,1.0,0.5295139582,0.4711306662959211,0.05902791640000005,False
16.0,0.87,Spike,1.0,0.5295971474,0.4705004283653775,0.059194294799999936,False
16.0,0.86,Spike,1.0,0.5298782623999999,0.47214857753949874,0.05975652479999982,False
16.0,0.85,Spike,0.01095,0.5288599406,0.4709573597911103,0.057719881199999934,False
16.0,0.8400000000000001,Spike,1.0,0.529269584,0.47058182430050455,0.05853916800000003,False
16.0,0.8300000000000001,Spike,0.00251,0.5294913972,0.4702522003601439,0.058982794400000094,False
16.0,0.8200000000000001,Spike,1.0,0.529272468,0.4704972137009381,0.0585449360000001,False
16.0,0.81,Spike,1.0,0.5292719605999999,0.469645099803427,0.05854392119999985,False
16.0,0.8,Spike,1.0,0.5292139452,0.4685394702427168,0.05842789039999996,False
16.0,0.79,Spike,1.0,0.5280102564,0.46428337563230837,0.05602051279999998,False
16.0,0.78,Spike,0.258632,0.527462444,0.46346317419941774,0.05492488799999995,False
16.0,0.77,Spike,0.088151,0.5273598348,0.46266772530476563,0.054719669600000076,False
16.0,0.76,Spike,1.0,0.5275943945999999,0.4619266212965684,0.05518878919999981,False
16.0,0.75,Spike,1.0,0.527789026,0.46007642625975015,0.05557805199999999,False
16.0,0.74,Spike,0.272347,0.5279175642,0.45971012854030213,0.055835128400000045,False
16.0,0.73,Spike,1.0,0.5270519692,0.4606340678940384,0.05410393839999994,False
16.0,0.72,Spike,0.013428,0.5272867858,0.45715073319678445,0.05457357159999998,False
16.0,0.7100000000000001,Spike,0.038816,0.5262936456,0.4534149567805646,0.05258729120000005,False
16.0,0.7000000000000001,Spike,1.0,0.5268634954,0.4523766887647872,0.053726990799999985,False
16.0,0.6900000000000001,Spike,1.0,0.525617526,0.4480746688970181,0.051235052,False
16.0,0.68,Spike,1.0,0.5259690976,0.4481485828944148,0.05193819519999998,False
16.0,0.67,Spike,1.0,0.5254291522,0.4456513634093184,0.05085830439999994,False
16.0,0.66,Spike,1.0,0.5248441366,0.44194501975155487,0.04968827319999991,False
16.0,0.65,Spike,1.0,0.524170036,0.4354854309866086,0.04834007200000001,False
16.0,0.64,Spike,0.033987,0.524363723,0.4355918532681025,0.04872744600000001,False
16.0,0.63,Spike,0.265151,0.5232092112000001,0.4317956971373428,0.04641842240000016,False
16.0,0.62,Spike,0.192189,0.5226199684000001,0.4261934579948577,0.04523993680000027,False
16.0,0.61,Spike,0.186735,0.5221631976000001,0.42243595583453847,0.044326395200000146,False
16.0,0.6,Spike,0.186782,0.5216877246,0.41819153761827393,0.04337544920000003,False
16.0,0.59,Spike,0.053929,0.5215932214000001,0.41153626952626166,0.04318644280000017,False
16.0,0.5800000000000001,Spike,0.951751,0.520544022,0.40731317165621894,0.0410880440000001,False
16.0,0.5700000000000001,Spike,0.130069,0.520162989,0.40258076006250293,0.04032597800000004,False
16.0,0.56,Spike,0.141057,0.5193350034,0.3945140525026623,0.0386700068000001,False
16.0,0.55,Spike,0.406929,0.5192402044000001,0.38906221115315237,0.03848040880000014,False
16.0,0.54,Spike,0.442901,0.5179910052,0.38385346507733276,0.03598201039999993,False
16.0,0.53,Spike,1.0,0.5174405994,0.37436204084860497,0.03488119879999996,False
16.0,0.52,Spike,1.0,0.516649916,0.3667215382477406,0.033299831999999974,False
16.0,0.51,Spike,1.0,0.5164611946000001,0.36469003282920487,0.032922389200000124,False
16.0,0.5,Spike,0.273488,0.5145914102000001,0.3465850101519989,0.029182820400000198,False
16.0,0.49,Spike,0.229766,0.5138984726000001,0.3334965584381921,0.0277969452000002,False
16.0,0.48000000000000004,Spike,0.184453,0.512393655,0.31747372925866585,0.024787310000000007,False
16.0,0.47000000000000003,Spike,0.84051,0.5107777365999999,0.29799999325409104,0.02155547319999984,False
16.0,0.46,Spike,0.791811,0.5097486578,0.2787075968784451,0.01949731560000001,False
16.0,0.45,Spike,0.256176,0.5082367287999999,0.2595519229708392,0.016473457599999852,False
16.0,0.44,Spike,0.513949,0.5069755534,0.24032315662994458,0.013951106800000002,False
16.0,0.43,Spike,0.888033,0.5061205096,0.2207694779099204,0.01224101919999998,False
16.0,0.42000000000000004,Spike,0.411576,0.5051331454,0.2004247067142825,0.010266290799999966,False
16.0,0.41000000000000003,Spike,0.29401,0.504002882,0.17912404166304538,0.00800576399999997,False
16.0,0.4,Spike,0.366613,0.5029740986,0.15634932134904245,0.0059481971999999494,False
16.0,0.39,Spike,0.47722,0.5020665378,0.13125086086022553,0.00413307559999998,False
16.0,0.38,Spike,0.564154,0.5012539420000001,0.1021356519188183,0.002507884000000127,False
16.0,0.37,Spike,0.556282,0.5004907616000001,0.06405532681703757,0.0009815232000001117,False
16.0,0.36000000000000004,Spike,0.500007,0.5001205146000001,0.031363479422967244,0.00024102920000013128,True
16.0,0.35000000000000003,Spike,0.5,0.5001009670000001,0.02876329930584637,0.00020193400000012574,True
16.0,0.34,Spike,0.5,0.5000935357999999,0.02771309751305819,0.00018707159999986622,True
16.0,0.33,Spike,0.5,0.5000894404,0.027119931925135298,0.00017888080000005857,True
16.0,0.32,Spike,0.5,0.5000868568,0.026740892579356468,0.0001737135999999584,True
16.0,0.31,Spike,0.5,0.5000851114,0.026482383153366058,0.00017022280000000833,True
16.0,0.3,Spike,0.5,0.5000838768,0.026299068298627937,0.00016775359999998685,True
16.0,0.29000000000000004,Spike,0.5,0.5000829796,0.02616586167612744,0.00016595920000006537,True
16.0,0.28,Spike,0.5,0.5000823178,0.026067593831415187,0.0001646356000000182,True
16.0,0.27,Spike,0.5,0.5000818226,0.025994510130266192,0.0001636452000000066,True
16.0,0.26,Spike,0.5,0.500081453,0.02593999853007974,0.00016290599999990718,True
16.0,0.25,Spike,0.5,0.5000811754000001,0.02589944653264958,0.000162350800000155,True
16.0,0.24000000000000002,Spike,0.5,0.5000809678,0.02586949475871876,0.00016193559999999607,True
16.0,0.23,Spike,0.5,0.5000808122,0.02584766067445562,0.00016162440000000444,True
16.0,0.22,Spike,0.5,0.500080701,0.02583207821348806,0.00016140200000003269,True
16.0,0.21000000000000002,Spike,0.5,0.5000806222,0.02582130062985811,0.00016124440000009344,True
16.0,0.2,Spike,0.5,0.5000805672,0.025814219089279496,0.00016113440000009582,True
