epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Uniform,0.003106,0.5269159406,0.4565798307470387,0.05383188120000004,False
16.0,0.98,Uniform,0.009384,0.5264763142,0.4551377412612634,0.052952628399999924,False
16.0,0.97,Uniform,0.324891,0.5260468652,0.4536664057866301,0.05209373039999998,False
16.0,0.9600000000000001,Uniform,0.950573,0.5265105922000001,0.45188629181351814,0.05302118440000014,False
16.0,0.9500000000000001,Uniform,1.0,0.5264383396,0.4531742944491337,0.05287667919999994,False
16.0,0.9400000000000001,Uniform,1.0,0.5262406252,0.4510648265504418,0.05248125040000007,False
16.0,0.93,Uniform,0.203121,0.5261963714,0.45141816838412757,0.05239274279999995,False
16.0,0.92,Uniform,0.013832,0.5264069525999999,0.4542700882562448,0.052813905199999844,False
16.0,0.91,Uniform,1.0,0.5257641538,0.447634523917696,0.051528307599999934,False
16.0,0.9,Uniform,0.022458,0.5251229922,0.4436620680107233,0.050245984400000054,False
16.0,0.89,Uniform,1.0,0.524614654,0.44030643193847985,0.049229307999999916,False
16.0,0.88,Uniform,0.065146,0.5236536481999999,0.4345445301140412,0.047307296399999865,False
16.0,0.87,Uniform,0.155273,0.5231016668,0.4306255189579634,0.04620333360000006,False
16.0,0.86,Uniform,0.506359,0.5227830809999999,0.42814793681286406,0.045566161999999855,False
16.0,0.85,Uniform,0.754359,0.5232421013999999,0.4318821961245819,0.046484202799999874,False
16.0,0.8400000000000001,Uniform,0.051817,0.5228016126,0.42582978490129875,0.04560322520000004,False
16.0,0.8300000000000001,Uniform,0.065419,0.5218638196,0.41802904510566946,0.04372763919999989,False
16.0,0.8200000000000001,Uniform,0.085718,0.5208828224,0.40972764136375367,0.04176564479999989,False
16.0,0.81,Uniform,0.132747,0.5200950919999999,0.4033267341647905,0.04019018399999985,False
16.0,0.8,Uniform,1.0,0.5203579286,0.40320464324660776,0.04071585719999993,False
16.0,0.79,Uniform,0.200731,0.519166229,0.39509726439464116,0.03833245799999996,False
16.0,0.78,Uniform,0.250684,0.5177639464,0.3810713214932376,0.035527892800000016,False
16.0,0.77,Uniform,1.0,0.5168595749999999,0.36878827851255314,0.03371914999999981,False
16.0,0.76,Uniform,0.241045,0.5139216616,0.33567896164304406,0.027843323199999936,False
16.0,0.75,Uniform,0.952975,0.5087616455999999,0.2674458337513303,0.017523291199999846,False
16.0,0.74,Uniform,0.244341,0.5068857255999999,0.23722017789987865,0.013771451199999785,False
16.0,0.73,Uniform,0.847666,0.5051972032,0.2040666519225277,0.01039440639999989,False
16.0,0.72,Uniform,0.307812,0.503419895,0.16620010143002514,0.006839789999999901,False
16.0,0.7100000000000001,Uniform,0.620023,0.5017555117999999,0.11956709733792915,0.003511023599999774,False
16.0,0.7000000000000001,Uniform,0.52428,0.5004055198,0.0569334090643055,0.000811039600000063,False
16.0,0.6900000000000001,Uniform,0.5,0.5002204262000001,0.04222777105252142,0.0004408524000001357,True
16.0,0.68,Uniform,0.5,0.500179059,0.03807921480617438,0.0003581180000000739,True
16.0,0.67,Uniform,0.5,0.5001567572,0.03564255176620116,0.0003135143999999368,True
16.0,0.66,Uniform,0.5,0.5001421580000001,0.0339544571386166,0.0002843160000001177,True
16.0,0.65,Uniform,0.5,0.5001316822,0.032691724872968037,0.00026336440000007677,True
16.0,0.64,Uniform,0.5,0.500123755,0.03170451731010817,0.0002475099999998953,True
