lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Bimodal,0.5,0.5000001262,0.0010013582681287396,2.524000000114768e-07,True
16.0,0.98,Bimodal,0.5,0.500000492,0.0020027932303861864,9.83999999926155e-07,True
16.0,0.97,Bimodal,0.5,0.5000010941999999,0.0030043173536560106,2.1883999998806303e-06,True
16.0,0.9600000000000001,Bimodal,0.5,0.5000019210000001,0.004005949713136678,3.842000000142676e-06,True
16.0,0.9500000000000001,Bimodal,0.5,0.5000029668,0.0050076934965040286,5.933600000007644e-06,True
16.0,0.9400000000000001,Bimodal,0.5,0.5000042282,0.006009555100989352,8.456400000023123e-06,True
16.0,0.93,Bimodal,0.5,0.5000056991999999,0.0070115365456985025,1.1398399999862363e-05,True
16.0,0.92,Bimodal,0.5,0.5000060288000001,0.007212840553772237,1.2057600000225932e-05,True
16.0,0.91,Bimodal,0.5,0.500006372,0.0074057976437764015,1.274399999995346e-05,True
16.0,0.9,Bimodal,0.5,0.500006953,0.007723556942909209,1.3905999999952456e-05,True
16.0,0.89,Bimodal,0.5,0.5000077608,0.008151460349897468,1.5521599999956948e-05,True
16.0,0.88,Bimodal,0.5,0.5000087866,0.008673162401077678,1.7573200000065015e-05,True
16.0,0.87,Bimodal,0.5,0.5000100268000001,0.00927279859611124,2.0053600000125016e-05,True
16.0,0.86,Bimodal,0.5,0.5000114732,0.009936239318235023,2.2946399999890232e-05,True
16.0,0.85,Bimodal,0.5,0.5000121918,0.010253842963909602,2.438360000001083e-05,True
16.0,0.8400000000000001,Bimodal,0.5,0.500012377,0.010325583353553892,2.4754000000015708e-05,True
16.0,0.8300000000000001,Bimodal,0.5,0.500012797,0.010489414056697425,2.5594000000017658e-05,True
16.0,0.8200000000000001,Bimodal,0.5,0.5000134474000001,0.010741031938796912,2.6894800000176744e-05,True
16.0,0.81,Bimodal,0.5,0.500014315,0.01107438077926273,2.8630000000084976e-05,True
16.0,0.8,Bimodal,0.5,0.500015399,0.01148226870746078,3.079800000005406e-05,True
16.0,0.79,Bimodal,0.5,0.5000166892,0.011957007349247274,3.33783999999504e-05,True
16.0,0.78,Bimodal,0.5,0.5000181808,0.01249091090122493,3.636160000008992e-05,True
16.0,0.77,Bimodal,0.5,0.5000190324,0.012789721693874014,3.8064800000015e-05,True
16.0,0.76,Bimodal,0.5,0.500019181,0.012835011742399167,3.8361999999958485e-05,True
16.0,0.75,Bimodal,0.5,0.5000195576,0.012951383485632746,3.911520000010604e-05,True
16.0,0.74,Bimodal,0.5,0.500020154,0.01313685959113012,4.030799999998891e-05,True
16.0,0.73,Bimodal,0.5,0.500020966,0.013388490226793857,4.1932000000022285e-05,True
16.0,0.72,Bimodal,0.5,0.5000219858,0.013702559365484658,4.3971600000025646e-05,True
16.0,0.7100000000000001,Bimodal,0.5,0.5000232066000001,0.014074831867156858,4.641320000020599e-05,True
16.0,0.7000000000000001,Bimodal,0.5,0.5000246206,0.014500777375794586,4.92411999999387e-05,True
