delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.99,Bimodal,1.0,0.5283932304,0.46967596105765347,0.05678646079999994,False
0.125,0.98,Bimodal,0.002459,0.528235927,0.468592856249126,0.05647185399999999,False
0.125,0.97,Bimodal,0.020137,0.5273098484000001,0.46643696352315006,0.05461969680000012,False
0.125,0.9600000000000001,Bimodal,0.002262,0.5281651735999999,0.46454820552268106,0.05633034719999985,False
0.125,0.9500000000000001,Bimodal,0.00703,0.5275418238,0.4634142035677387,0.05508364760000006,False
0.125,0.9400000000000001,Bimodal,0.005721,0.52746532,0.4611660552215192,0.05493064000000003,False
0.125,0.93,Bimodal,0.005877,0.5270883812,0.45733904707818374,0.05417676240000002,False
0.125,0.92,Bimodal,1.0,0.5262842234,0.45589206374977165,0.05256844680000006,False
0.125,0.91,Bimodal,1.0,0.5263087504,0.4547657407654478,0.05261750080000005,False
0.125,0.9,Bimodal,1.0,0.526010023,0.45078410202241576,0.052020045999999986,False
0.125,0.89,Bimodal,1.0,0.5260030508,0.45055135649648065,0.052006101599999965,False
0.125,0.88,Bimodal,1.0,0.5256913364,0.44571591145563805,0.05138267279999997,False
0.125,0.87,Bimodal,1.0,0.5256789978,0.4494534219318993,0.051357995600000095,False
0.125,0.86,Bimodal,1.0,0.524343894,0.44043837433840877,0.048687788000000065,False
0.125,0.85,Bimodal,1.0,0.524748104,0.4388241303684859,0.0494962080000001,False
0.125,0.8400000000000001,Bimodal,0.273524,0.5235276275999999,0.4351111548241605,0.04705525519999987,False
0.125,0.8300000000000001,Bimodal,0.049582,0.5234383846,0.4318905948926177,0.04687676920000006,False
0.125,0.8200000000000001,Bimodal,1.0,0.5237355596,0.43032381664808117,0.04747111919999991,False
0.125,0.81,Bimodal,0.137452,0.5230353408,0.424769175413853,0.04607068160000005,False
0.125,0.8,Bimodal,0.383338,0.5223743986,0.4249571902791138,0.04474879720000002,False
0.125,0.79,Bimodal,0.079654,0.5219278292,0.4189753737057538,0.04385565840000005,False
0.125,0.78,Bimodal,0.064519,0.5214118222,0.4129133691284824,0.04282364440000008,False
0.125,0.77,Bimodal,1.0,0.5206490906,0.4047978943618753,0.04129818119999995,False
0.125,0.76,Bimodal,0.063229,0.5199335657999999,0.39808631234485187,0.03986713159999988,False
0.125,0.75,Bimodal,1.0,0.5188691662,0.38791140698624754,0.03773833240000002,False
0.125,0.74,Bimodal,0.385392,0.517643448,0.3778058549931977,0.0352868959999999,False
0.125,0.73,Bimodal,0.334139,0.5174445942,0.3759059150888904,0.03488918839999999,False
0.125,0.72,Bimodal,0.932333,0.5158406919999999,0.35592935585754454,0.03168138399999987,False
0.125,0.7100000000000001,Bimodal,1.0,0.514841723,0.3434937903821065,0.029683445999999947,False
0.125,0.7000000000000001,Bimodal,1.0,0.5144179288,0.33862675438872647,0.02883585760000007,False
0.125,0.6900000000000001,Bimodal,0.10868,0.5135631538,0.3279815897039849,0.0271263075999999,False
0.125,0.68,Bimodal,0.795824,0.512204882,0.30881837660835,0.024409764000000056,False
0.125,0.67,Bimodal,0.700125,0.5116752158000001,0.3061944425265633,0.023350431600000165,False
0.125,0.66,Bimodal,0.743215,0.5115724282,0.30471858964283755,0.02314485640000008,False
0.125,0.65,Bimodal,0.149413,0.5103232548,0.2861228319340424,0.020646509599999918,False
0.125,0.64,Bimodal,0.552851,0.5093894017999999,0.2746170821025401,0.018778803599999838,False
0.125,0.63,Bimodal,0.645372,0.5088958652,0.264700929901979,0.017791730399999928,False
0.125,0.62,Bimodal,0.174062,0.508148138,0.2536446340194445,0.016296276000000054,False
0.125,0.61,Bimodal,0.673324,0.5075620634,0.2444113895608124,0.01512412679999997,False
0.125,0.6,Bimodal,0.257815,0.5068508212,0.2312369156537949,0.013701642400000047,False
0.125,0.59,Bimodal,0.400809,0.5061587798,0.21877358656615362,0.012317559600000028,False
0.125,0.5800000000000001,Bimodal,0.693473,0.5054987898,0.20717186207441177,0.010997579599999918,False
0.125,0.5700000000000001,Bimodal,0.771863,0.5048497706,0.19612082498424505,0.00969954120000005,False
0.125,0.56,Bimodal,0.248749,0.5043374658,0.1852331683433605,0.008674931600000102,False
0.125,0.55,Bimodal,0.719312,0.5038141204,0.17454999637857302,0.007628240799999908,False
0.125,0.54,Bimodal,0.640979,0.5034335234,0.16399017556562182,0.006867046800000054,False
0.125,0.53,Bimodal,0.641021,0.5030202692000001,0.15355161830103684,0.006040538400000184,False
0.125,0.52,Bimodal,0.663477,0.5025909866,0.14320118815406585,0.005181973200000023,False
