delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.99,Uniform,1.0,0.5298465962000001,0.4829220764990376,0.05969319240000015,False
0.125,0.98,Uniform,1.0,0.5313568277999999,0.48227756905046576,0.06271365559999986,False
0.125,0.97,Uniform,1.0,0.5306355938,0.48095106381334374,0.061271187600000054,False
0.125,0.9600000000000001,Uniform,0.000211,0.5312520714,0.47984193550427956,0.06250414279999994,False
0.125,0.9500000000000001,Uniform,0.000361,0.530894452,0.47833697842611045,0.06178890399999992,False
0.125,0.9400000000000001,Uniform,0.002555,0.5298493026,0.4775571388078623,0.05969860519999992,False
0.125,0.93,Uniform,1.0,0.530343678,0.4764531453660468,0.06068735600000008,False
0.125,0.92,Uniform,1.0,0.5302007718,0.4742815462724472,0.06040154360000005,False
0.125,0.91,Uniform,0.019833,0.5284556737999999,0.47343466871722867,0.05691134759999983,False
0.125,0.9,Uniform,0.042218,0.5278621072,0.47120384408948224,0.05572421440000008,False
0.125,0.89,Uniform,1.0,0.5292218204000001,0.4692208492025173,0.058443640800000196,False
0.125,0.88,Uniform,1.0,0.5286354008,0.4678875757978043,0.05727080160000009,False
0.125,0.87,Uniform,1.0,0.5274506964,0.46594329770133963,0.05490139279999995,False
0.125,0.86,Uniform,0.005898,0.5281125462,0.4634850600939369,0.056225092400000065,False
0.125,0.85,Uniform,0.10544,0.5265745142,0.46165061466227136,0.05314902840000002,False
0.125,0.8400000000000001,Uniform,0.342846,0.5261893112,0.45888254153079816,0.05237862240000002,False
0.125,0.8300000000000001,Uniform,1.0,0.526652109,0.45639176263356185,0.05330421800000007,False
0.125,0.8200000000000001,Uniform,1.0,0.5262284174,0.45235124160620466,0.052456834800000074,False
0.125,0.81,Uniform,1.0,0.5253806112,0.45038429715238154,0.05076122240000003,False
0.125,0.8,Uniform,0.011288,0.5261785852,0.44866857033416,0.0523571704000001,False
0.125,0.79,Uniform,0.346243,0.525686114,0.44474326839819317,0.051372227999999964,False
0.125,0.78,Uniform,1.0,0.524493894,0.44137362054494483,0.04898778800000003,False
0.125,0.77,Uniform,1.0,0.5248954690000001,0.4393445683760651,0.04979093800000012,False
0.125,0.76,Uniform,0.071495,0.52433564,0.4352979850692818,0.04867127999999998,False
0.125,0.75,Uniform,1.0,0.5234721649999999,0.43425727589026636,0.04694432999999987,False
0.125,0.74,Uniform,1.0,0.5233732898,0.428469636110134,0.04674657959999995,False
0.125,0.73,Uniform,1.0,0.5233110982,0.42969076757180696,0.04662219639999998,False
0.125,0.72,Uniform,0.287772,0.5216962302,0.4191120014094866,0.0433924604,False
0.125,0.7100000000000001,Uniform,1.0,0.5225765022,0.4203311310764717,0.04515300439999992,False
0.125,0.7000000000000001,Uniform,0.951194,0.521294589,0.4144837350860734,0.04258917800000006,False
0.125,0.6900000000000001,Uniform,1.0,0.5208848663999999,0.4074883538093645,0.04176973279999974,False
0.125,0.68,Uniform,0.994804,0.5209744984,0.41172465890701426,0.04194899679999997,False
0.125,0.67,Uniform,0.077606,0.5203054018000001,0.4017856251254729,0.040610803600000134,False
0.125,0.66,Uniform,0.528136,0.5197635516,0.39505892516560304,0.03952710319999997,False
0.125,0.65,Uniform,1.0,0.5197126804,0.39678095799303,0.03942536079999992,False
0.125,0.64,Uniform,1.0,0.5185960253999999,0.3856262020095834,0.037192050799999876,False
0.125,0.63,Uniform,0.509962,0.5184015016,0.3816667290928751,0.03680300319999996,False
0.125,0.62,Uniform,1.0,0.5179386232,0.378649592332549,0.035877246399999896,False
0.125,0.61,Uniform,0.153143,0.5166789022,0.3676836074339945,0.033357804400000024,False
0.125,0.6,Uniform,1.0,0.5164611938,0.3638704474292441,0.03292238759999999,False
0.125,0.59,Uniform,1.0,0.5155756018,0.3554774580612458,0.0311512035999999,False
0.125,0.5800000000000001,Uniform,0.359199,0.5145102179999999,0.34525380769135733,0.029020435999999705,False
0.125,0.5700000000000001,Uniform,1.0,0.514276624,0.33787227972536604,0.02855324799999992,False
0.125,0.56,Uniform,0.157656,0.5131943832,0.3270001420718342,0.026388766399999986,False
