config,delta,alpha_inbound,alpha_outbound,kappa_def,kappa_att,Gi,Ri,stable
Asset Hub,0.001,0.134,0.14,2.7731,3.3661,0.0176,0.411,True
Asset Hub,0.002,0.134,0.14,2.847,3.3726,0.0354,0.4081,True
Asset Hub,0.003,0.134,0.14,2.9209,3.3792,0.0536,0.4052,True
Asset Hub,0.004,0.134,0.14,2.9949,3.3857,0.0721,0.4024,True
Asset Hub,0.005,0.134,0.14,3.0688,3.3922,0.091,0.3997,True
Asset Hub,0.006,0.134,0.14,3.1428,3.3987,0.1101,0.397,True
Asset Hub,0.007,0.134,0.14,3.22,3.4048,0.1296,0.3942,True
Asset Hub,0.008,0.134,0.14,3.2972,3.4108,0.1495,0.3914,True
Asset Hub,0.009,0.134,0.14,3.3744,3.4168,0.1697,0.3886,True
Asset Hub,0.01,0.134,0.14,3.4516,3.4228,0.1902,0.3859,True
Asset Hub,0.011,0.134,0.14,3.5286,3.4287,0.211,0.3832,True
Asset Hub,0.012,0.134,0.14,3.6053,3.4343,0.2321,0.3806,True
Asset Hub,0.013,0.134,0.14,3.6819,3.4399,0.2536,0.378,True
Asset Hub,0.014,0.134,0.14,3.76,3.4455,0.2755,0.3754,True
Asset Hub,0.015,0.134,0.14,3.8403,3.451,0.2977,0.3727,True
Asset Hub,0.016,0.134,0.14,3.9205,3.4564,0.3203,0.3701,True
Asset Hub,0.017,0.134,0.14,4.0008,3.4619,0.3433,0.3676,True
Asset Hub,0.018,0.134,0.14,4.081,3.4672,0.3666,0.365,True
Asset Hub,0.019,0.134,0.14,4.1612,3.4726,0.3902,0.3625,True
Asset Hub,0.02,0.134,0.14,4.2413,3.4779,0.4142,0.3601,True
Asset Hub,0.021,0.134,0.14,4.3215,3.4832,0.4385,0.3576,True
Asset Hub,0.022,0.134,0.14,4.4017,3.4885,0.4632,0.3553,True
Asset Hub,0.023,0.134,0.14,4.4819,3.4938,0.4882,0.3529,True
Asset Hub,0.024,0.134,0.14,4.5661,3.4994,0.5137,0.3505,True
Asset Hub,0.025,0.134,0.14,4.6513,3.5048,0.5397,0.3481,True
Asset Hub,0.026,0.134,0.14,4.7364,3.5102,0.566,0.3457,True
Asset Hub,0.027,0.134,0.14,4.8215,3.5156,0.5927,0.3433,True
